expedition_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
EVER97107,Everest,1997,Spring,4/3/1997,5/21/1997,NA,Success (main peak),8850,11,0,14,0,TRUE,Himalaya Expeditions
EVER97121,Everest,1997,Spring,4/14/1997,5/25/1997,5/27/1997,Success (main peak),8850,6,0,13,1,TRUE,Great Escapes Trekking
EVER97106,Everest,1997,Spring,4/2/1997,5/23/1997,5/26/1997,Success (main peak),8850,8,0,9,0,TRUE,Great Escapes Trekking
EVER97105,Everest,1997,Spring,4/1/1997,4/17/1997,4/19/1997,"Bad weather (storms, high winds)",7200,11,0,23,0,TRUE,Trans Himalayan Trekking (THT)
EVER97126,Everest,1997,Spring,4/3/1997,5/23/1997,NA,Success (main peak),8850,7,1,6,0,TRUE,Arun Treks
EVER97109,Everest,1997,Spring,4/5/1997,5/27/1997,NA,Success (main peak),8850,8,0,9,0,TRUE,Asian Trekking
EVER97111,Everest,1997,Spring,4/6/1997,5/28/1997,5/31/1997,Lack of time,8200,2,0,3,0,TRUE,Asian Trekking
EVER97101,Everest,1997,Spring,3/19/1997,4/26/1997,5/1/1997,Success (main peak),8850,16,0,16,0,TRUE,Asian Trekking
EVER97122,Everest,1997,Spring,4/15/1997,5/8/1997,5/13/1997,"Illness, AMS, exhaustion, or frostbite",7100,1,0,0,0,FALSE,Asian Trekking
EVER75301,Everest,1975,Autumn,8/23/1975,9/24/1975,10/1/1975,Success (main peak),8850,23,1,60,1,TRUE,Mountain Travel
EVER74301,Everest,1974,Autumn,8/16/1974,9/9/1974,9/21/1974,Accident (death or serious injury),6900,10,1,20,5,FALSE,NA
EVER75101,Everest,1975,Spring,3/16/1975,5/16/1975,5/18/1975,Success (main peak),8850,22,0,23,0,TRUE,NA
EVER74101,Everest,1974,Spring,3/25/1974,5/12/1974,NA,"Bad weather (storms, high winds)",8530,16,0,10,0,TRUE,NA
EVER73301,Everest,1973,Autumn,8/25/1973,10/26/1973,NA,Success (main peak),8850,49,0,33,1,TRUE,NA
EVER73101,Everest,1973,Spring,3/21/1973,5/5/1973,NA,Success (main peak),8850,65,0,88,0,TRUE,NA
EVER72301,Everest,1972,Autumn,9/14/1972,11/12/1972,11/17/1972,"Bad weather (storms, high winds)",8230,12,1,40,0,TRUE,NA
EVER72101,Everest,1972,Spring,3/21/1972,5/20/1972,5/25/1972,"Bad weather (storms, high winds)",8350,23,0,30,0,TRUE,NA
EVER97302,Everest,1997,Autumn,7/29/1997,8/30/1997,10/1/1997,"Route technically too difficult, lack of experience, strength, or motivation",8700,7,0,4,0,TRUE,Asian Trekking
EVER97304,Everest,1997,Autumn,8/28/1997,9/15/1997,10/8/1997,"Bad weather (storms, high winds)",7600,10,0,4,0,TRUE,In Wilderness
EVER97306,Everest,1997,Autumn,9/1/1997,9/27/1997,10/3/1997,"Bad weather (storms, high winds)",7600,2,0,0,0,FALSE,Asian Trekking/Thamserku Trekking
EVER97310,Everest,1997,Autumn,9/7/1997,10/6/1997,10/15/1997,"Bad weather (storms, high winds)",7900,10,0,5,0,FALSE,Asian Trekking
EVER97307,Everest,1997,Autumn,9/1/1997,9/16/1997,10/8/1997,"Bad weather (storms, high winds)",7000,15,0,0,0,TRUE,Sherpa Excursions
EVER97311,Everest,1997,Autumn,9/7/1997,10/10/1997,10/13/1997,"Bad weather (storms, high winds)",7900,9,0,8,0,FALSE,Great Himalayan Adventure (GHA)
EVER97303,Everest,1997,Autumn,8/6/1997,9/26/1997,10/3/1997,"Bad weather (storms, high winds)",8200,10,0,4,0,TRUE,Nepal Himal
EVER97312,Everest,1997,Autumn,9/17/1997,NA,9/24/1997,Did not attempt climb,5350,4,0,0,0,FALSE,Kailash Journeys Treks
EVER97308,Everest,1997,Autumn,9/1/1997,10/4/1997,10/8/1997,"Bad weather (storms, high winds)",7800,2,0,3,0,FALSE,Sherpa Excursions
EVER97305,Everest,1997,Autumn,8/30/1997,9/12/1997,10/10/1997,"Illness, AMS, exhaustion, or frostbite",7000,3,0,4,0,FALSE,Asian Trekking
EVER97309,Everest,1997,Autumn,9/1/1997,9/8/1997,9/14/1997,Accident (death or serious injury),7000,13,1,3,0,FALSE,Windhorse Trekking
EVER97301,Everest,1997,Autumn,7/24/1997,9/27/1997,10/4/1997,"Bad weather (storms, high winds)",8000,2,0,0,0,FALSE,Cosmo Treks
EVER71101,Everest,1971,Spring,3/22/1971,5/20/1971,NA,"Bad weather (storms, high winds)",8380,31,1,55,0,TRUE,NA
EVER70101,Everest,1970,Spring,3/23/1970,5/6/1970,NA,Other,8100,34,0,0,6,TRUE,NA
EVER69301,Everest,1969,Autumn,9/16/1969,10/31/1969,11/4/1969,Did not attempt climb,8000,12,0,0,0,TRUE,NA
EVER69302,Everest,1969,Autumn,NA,NA,NA,Other,7500,16,0,0,1,TRUE,NA
EVER69101,Everest,1969,Spring,5/14/1969,5/24/1969,NA,"Bad weather (storms, high winds)",6500,4,0,0,0,FALSE,NA
EVER65101,Everest,1965,Spring,3/22/1965,5/20/1965,6/1/1965,Success (main peak),8850,20,0,46,0,TRUE,NA
EVER64101,Everest,1964,Spring,NA,NA,NA,Other,8100,20,1,60,0,FALSE,NA
EVER63101,Everest,1963,Spring,3/21/1963,5/1/1963,5/25/1963,Success (main peak),8850,20,1,40,0,TRUE,NA
EVER60101,Everest,1960,Spring,4/5/1960,5/25/1960,5/30/1960,"Bad weather (storms, high winds)",8625,22,0,10,0,TRUE,NA
EVER98118,Everest,1998,Spring,4/13/1998,5/22/1998,5/27/1998,Success (main peak),8850,15,0,0,0,TRUE,Asian Trekking
EVER98116,Everest,1998,Spring,4/11/1998,5/19/1998,5/25/1998,Success (main peak),8850,3,0,6,0,TRUE,Rolwaling Treks
EVER98110,Everest,1998,Spring,4/5/1998,5/18/1998,5/19/1998,Success (main peak),8850,4,0,1,0,TRUE,Asian Trekking
EVER98121,Everest,1998,Spring,4/14/1998,4/26/1998,NA,"Illness, AMS, exhaustion, or frostbite",7800,1,0,1,0,FALSE,Cosmo Treks
EVER98107,Everest,1998,Spring,4/2/1998,5/18/1998,5/22/1998,Success (main peak),8850,23,2,0,0,TRUE,Asian Trekking
EVER98114,Everest,1998,Spring,4/10/1998,5/25/1998,NA,Success (main peak),8850,8,0,4,0,TRUE,Great Escapes Trekking
EVER98123,Everest,1998,Spring,4/15/1998,5/24/1998,5/31/1998,Success (main peak),8850,8,0,5,0,TRUE,Sherpa Cooperative Trekking (SCT)
EVER98127,Everest,1998,Spring,4/16/1998,5/24/1998,6/1/1998,"Illness, AMS, exhaustion, or frostbite",7700,1,0,0,0,FALSE,Asian Trekking
EVER98132,Everest,1998,Spring,5/4/1998,5/26/1998,NA,Accident (death or serious injury),7400,1,1,0,0,FALSE,Asian Trekking
EVER98124,Everest,1998,Spring,4/15/1998,5/25/1998,6/1/1998,Success (main peak),8850,2,0,2,0,TRUE,Asian Trekking
EVER98129,Everest,1998,Spring,4/19/1998,5/18/1998,5/28/1998,Success (main peak),8850,12,0,6,0,TRUE,Cosmo Treks
EVER98115,Everest,1998,Spring,4/10/1998,5/18/1998,5/24/1998,Success (main peak),8850,11,0,12,0,TRUE,Rolwaling Treks
EVER98117,Everest,1998,Spring,4/11/1998,5/18/1998,5/24/1998,Success (main peak),8850,13,0,8,0,TRUE,Asian Trekking
EVER98104,Everest,1998,Spring,3/27/1998,5/19/1998,5/24/1998,Success (main peak),8850,24,0,0,0,TRUE,None
EVER98105,Everest,1998,Spring,3/28/1998,5/14/1998,5/24/1998,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500,7,0,3,0,FALSE,Asian Trekking
EVER98119,Everest,1998,Spring,4/13/1998,5/7/1998,5/22/1998,"Bad weather (storms, high winds)",8350,1,0,0,0,FALSE,Thamserku Trekking
EVER98122,Everest,1998,Spring,4/14/1998,5/26/1998,NA,"Illness, AMS, exhaustion, or frostbite",8500,10,0,0,0,TRUE,Nepal Trekking & Expeditions
EVER98125,Everest,1998,Spring,4/15/1998,5/25/1998,NA,Success (main peak),8850,1,1,1,0,TRUE,Asian Trekking
EVER98126,Everest,1998,Spring,4/15/1998,5/19/1998,6/1/1998,"Illness, AMS, exhaustion, or frostbite",8300,1,0,1,0,FALSE,Asian Trekking
EVER98131,Everest,1998,Spring,4/24/1998,5/26/1998,5/28/1998,Success (main peak),8850,4,0,0,0,TRUE,Thamserku Trekking
EVER98120,Everest,1998,Spring,4/13/1998,5/19/1998,6/1/1998,Success (main peak),8850,8,0,1,0,FALSE,Thamserku Trekking
EVER98102,Everest,1998,Spring,3/24/1998,5/25/1998,5/26/1998,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER98112,Everest,1998,Spring,4/6/1998,5/20/1998,5/26/1998,Success (main peak),8850,17,0,8,0,TRUE,Thamserku Trekking
EVER98101,Everest,1998,Spring,2/11/1998,5/19/1998,5/26/1998,"Illness, AMS, exhaustion, or frostbite",8300,1,0,0,0,FALSE,Arun Treks
EVER98130,Everest,1998,Spring,4/19/1998,5/19/1998,5/22/1998,"Bad weather (storms, high winds)",8200,2,0,2,0,FALSE,International Trekkers (Intrek Asia)
EVER98109,Everest,1998,Spring,4/4/1998,5/26/1998,5/29/1998,Success (main peak),8850,9,0,9,0,TRUE,Arun Treks
EVER98111,Everest,1998,Spring,4/5/1998,5/19/1998,5/23/1998,"Bad weather (storms, high winds)",8748,2,0,3,0,TRUE,Himalaya Expeditions
EVER98108,Everest,1998,Spring,4/3/1998,5/20/1998,5/29/1998,Success (main peak),8850,8,0,9,0,TRUE,Great Escapes Trekking
EVER98103,Everest,1998,Spring,3/25/1998,5/25/1998,5/29/1998,Success (main peak),8850,11,0,14,0,TRUE,Chomalhari Trekking
EVER98128,Everest,1998,Spring,4/17/1998,5/20/1998,5/25/1998,Success (main peak),8850,14,0,15,0,TRUE,Wilderness Experience
EVER98113,Everest,1998,Spring,4/6/1998,5/25/1998,5/29/1998,Success (main peak),8850,10,0,9,0,TRUE,Summit Nepal Trekking
EVER98106,Everest,1998,Spring,3/29/1998,5/20/1998,5/23/1998,Success (main peak),8850,6,0,13,0,TRUE,Above the Clouds
EVER21101,Everest,1921,Spring,6/26/1921,9/24/1921,9/30/1921,Did not attempt climb,7000,9,1,21,1,FALSE,NA
EVER22101,Everest,1922,Spring,5/1/1922,5/27/1922,6/14/1922,"Illness, AMS, exhaustion, or frostbite",8320,13,0,30,7,TRUE,NA
EVER24101,Everest,1924,Spring,4/28/1924,6/8/1924,6/15/1924,Accident (death or serious injury),8600,11,2,40,2,TRUE,NA
EVER33101,Everest,1933,Spring,4/17/1933,5/30/1933,7/2/1933,"Route technically too difficult, lack of experience, strength, or motivation",8570,16,0,50,0,FALSE,NA
EVER34101,Everest,1934,Spring,4/14/1934,5/24/1934,NA,Accident (death or serious injury),6900,1,1,2,0,FALSE,NA
EVER35201,Everest,1935,Summer,7/6/1935,7/12/1935,8/14/1935,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,7,0,16,0,FALSE,NA
EVER36101,Everest,1936,Spring,4/26/1936,5/14/1936,6/17/1936,"Bad weather (storms, high winds)",7000,12,0,65,0,FALSE,NA
EVER38101,Everest,1938,Spring,4/9/1938,6/11/1938,6/14/1938,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8350,7,0,16,0,TRUE,NA
EVER47101,Everest,1947,Spring,4/8/1947,4/15/1947,4/17/1947,"Bad weather (storms, high winds)",6800,1,0,2,0,FALSE,NA
EVER50301,Everest,1950,Autumn,11/16/1950,11/19/1950,11/19/1950,Did not attempt climb,5790,5,0,0,0,FALSE,NA
EVER51101,Everest,1951,Spring,5/3/1951,5/7/1951,5/14/1951,Lack (or loss) of supplies or equipment,6800,1,0,3,0,FALSE,NA
EVER51301,Everest,1951,Autumn,9/29/1951,10/28/1951,10/30/1951,"Route technically too difficult, lack of experience, strength, or motivation",6000,6,0,5,0,FALSE,NA
EVER52101,Everest,1952,Spring,4/20/1952,5/28/1952,6/6/1952,"Illness, AMS, exhaustion, or frostbite",8600,11,0,14,0,TRUE,NA
EVER52301,Everest,1952,Autumn,10/7/1952,11/20/1952,11/27/1952,"Bad weather (storms, high winds)",8100,7,0,23,1,TRUE,NA
EVER52302,Everest,1952,Autumn,NA,NA,NA,Attempt rumoured,8200,40,0,36,0,FALSE,NA
EVER53101,Everest,1953,Spring,4/12/1953,5/29/1953,6/3/1953,Success (main peak),8850,13,0,20,0,TRUE,NA
EVER56101,Everest,1956,Spring,4/7/1956,5/23/1956,5/31/1956,Success (main peak),8850,11,0,28,0,TRUE,NA
EVER58301,Everest,1958,Autumn,11/17/1958,11/21/1958,11/28/1958,Did not attempt climb,6500,13,0,10,0,FALSE,NA
EVER60102,Everest,1960,Spring,3/19/1960,5/25/1960,NA,Success (main peak),8850,29,1,99,0,TRUE,NA
EVER62101,Everest,1962,Spring,3/29/1962,5/30/1962,NA,"Bad weather (storms, high winds)",8720,14,0,44,1,TRUE,NA
EVER62102,Everest,1962,Spring,4/24/1962,6/4/1962,6/18/1962,"Illness, AMS, exhaustion, or frostbite",7700,4,0,0,0,FALSE,NA
EVER66101,Everest,1966,Spring,NA,NA,NA,Accident (death or serious injury),8100,20,1,60,0,TRUE,NA
EVER70102,Everest,1970,Spring,3/23/1970,5/11/1970,5/21/1970,Success (main peak),8850,39,1,56,1,TRUE,NA
EVER71301,Everest,1971,Autumn,9/14/1971,10/30/1971,NA,"Bad weather (storms, high winds)",8100,20,0,24,0,TRUE,NA
EVER75102,Everest,1975,Spring,3/13/1975,5/27/1975,NA,Success (main peak),8850,35,1,99,0,TRUE,NA
EVER75302,Everest,1975,Autumn,NA,NA,NA,Attempt rumoured,NA,1,0,0,0,FALSE,NA
EVER78101,Everest,1978,Spring,NA,5/21/1978,NA,Other,7790,25,1,30,0,FALSE,NA
EVER78102,Everest,1978,Spring,3/24/1978,5/3/1978,5/20/1978,Success (main peak),8850,14,0,25,1,TRUE,NA
EVER78302,Everest,1978,Autumn,8/29/1978,10/15/1978,NA,Success (main peak),8850,18,0,21,0,TRUE,NA
EVER79303,Everest,1979,Autumn,9/27/1979,10/8/1979,10/26/1979,"Route technically too difficult, lack of experience, strength, or motivation",7400,6,0,0,0,FALSE,NA
EVER82103,Everest,1982,Spring,3/16/1982,5/17/1982,5/30/1982,Accident (death or serious injury),8230,6,2,0,0,TRUE,NA
EVER83307,Everest,1983,Autumn,9/14/1983,10/10/1983,10/22/1983,"Bad weather (storms, high winds)",8200,12,0,0,0,FALSE,NA
EVER93401,Everest,1993,Winter,11/13/1993,12/18/1993,12/27/1993,Success (main peak),8850,10,0,20,0,TRUE,Cosmo Treks
EVER98302,Everest,1998,Autumn,9/18/1998,10/17/1998,NA,Success (main peak),8850,5,0,0,0,TRUE,Thamserku Trekking
EVER98303,Everest,1998,Autumn,9/6/1998,10/15/1998,10/19/1998,Success (main peak),8850,6,0,4,0,TRUE,Asian Trekking
EVER98304,Everest,1998,Autumn,7/31/1998,9/16/1998,9/22/1998,"Illness, AMS, exhaustion, or frostbite",8500,2,0,0,0,FALSE,Cosmo Treks
EVER98305,Everest,1998,Autumn,8/24/1998,9/25/1998,10/6/1998,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8100,1,0,2,0,FALSE,Asian Trekking
EVER98306,Everest,1998,Autumn,9/7/1998,10/15/1998,10/20/1998,"Bad weather (storms, high winds)",8350,2,0,5,0,TRUE,Asian Trekking
EVER98308,Everest,1998,Autumn,9/2/1998,9/24/1998,10/11/1998,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,1,0,3,0,FALSE,Asian Trekking
EVER98309,Everest,1998,Autumn,8/24/1998,9/25/1998,10/5/1998,"Bad weather (storms, high winds)",8100,3,0,3,0,FALSE,Asian Trekking
EVER98301,Everest,1998,Autumn,8/24/1998,9/25/1998,10/9/1998,"Bad weather (storms, high winds)",8100,3,0,0,0,FALSE,Asian Trekking
EVER98307,Everest,1998,Autumn,8/26/1998,10/11/1998,10/19/1998,Lack (or loss) of supplies or equipment,8040,9,0,9,0,TRUE,Cosmo Treks
EVER95115,Everest,1995,Spring,4/9/1995,5/13/1995,5/18/1995,Success (main peak),8850,1,0,0,0,FALSE,Asian Trekking
EVER99101,Everest,1999,Spring,4/19/1999,5/26/1999,6/1/1999,Success (main peak),8850,6,0,2,0,TRUE,Monterosa Treks
EVER99102,Everest,1999,Spring,4/6/1999,5/18/1999,NA,"Illness, AMS, exhaustion, or frostbite",8450,1,0,1,0,TRUE,Khumbi-ila Mt. & Trekking
EVER99103,Everest,1999,Spring,5/1/1999,5/29/1999,6/3/1999,Success (main peak),8850,2,0,3,0,TRUE,Sherpa Cooperative Trekking (SCT)
EVER99104,Everest,1999,Spring,4/6/1999,5/18/1999,5/26/1999,Success (main peak),8850,7,1,0,0,TRUE,None
EVER99105,Everest,1999,Spring,4/13/1999,5/18/1999,5/25/1999,"Bad weather (storms, high winds)",8300,3,0,3,0,FALSE,Thamserku Trekking
EVER99106,Everest,1999,Spring,4/23/1999,5/26/1999,NA,"Illness, AMS, exhaustion, or frostbite",8450,2,0,0,0,FALSE,Asian Trekking
EVER99107,Everest,1999,Spring,4/16/1999,5/17/1999,5/27/1999,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8500,10,0,2,0,TRUE,Asian Trekking
EVER99108,Everest,1999,Spring,4/11/1999,5/26/1999,5/29/1999,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER99109,Everest,1999,Spring,4/11/1999,5/26/1999,5/29/1999,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER99110,Everest,1999,Spring,4/11/1999,5/7/1999,5/30/1999,"Illness, AMS, exhaustion, or frostbite",8300,1,0,0,0,FALSE,Himalaya Expeditions
EVER99111,Everest,1999,Spring,3/29/1999,5/17/1999,5/22/1999,Success (main peak),8850,13,0,8,0,TRUE,Great Escapes Trekking
EVER99112,Everest,1999,Spring,4/14/1999,5/5/1999,5/10/1999,Success (main peak),8850,6,0,6,0,TRUE,Peak Promotion
EVER99113,Everest,1999,Spring,4/4/1999,5/12/1999,5/16/1999,Success (main peak),8850,5,0,4,0,TRUE,Summit Nepal Trekking/Arun Treks
EVER99114,Everest,1999,Spring,3/22/1999,5/6/1999,5/31/1999,Success (main peak),8850,4,0,9,0,TRUE,Nomad Expeditions
EVER99115,Everest,1999,Spring,3/29/1999,5/5/1999,5/21/1999,Success (main peak),8850,8,0,5,0,TRUE,Arun Treks
EVER99116,Everest,1999,Spring,NA,5/28/1999,NA,Success (main peak),8850,15,0,0,0,TRUE,None
EVER99117,Everest,1999,Spring,4/11/1999,5/25/1999,5/30/1999,Lack (or loss) of supplies or equipment,7850,1,0,1,0,TRUE,Asian Trekking
EVER99118,Everest,1999,Spring,4/5/1999,5/12/1999,5/16/1999,Success (main peak),8850,19,1,26,0,TRUE,Nepal Myths & Mountain Trails
EVER99119,Everest,1999,Spring,4/4/1999,5/5/1999,NA,Success (main peak),8850,7,0,10,0,TRUE,Above the Clouds
EVER99120,Everest,1999,Spring,4/10/1999,5/5/1999,5/10/1999,Success (main peak),8850,2,0,2,0,TRUE,Arun Treks
EVER99121,Everest,1999,Spring,4/10/1999,5/12/1999,5/31/1999,"Illness, AMS, exhaustion, or frostbite",7850,4,0,0,0,FALSE,Sea to Summit Trekking
EVER99122,Everest,1999,Spring,NA,4/17/1999,NA,"Illness, AMS, exhaustion, or frostbite",6400,1,0,1,0,FALSE,Asian Trekking
EVER99123,Everest,1999,Spring,3/10/1999,5/6/1999,5/30/1999,"Illness, AMS, exhaustion, or frostbite",8400,2,0,0,0,TRUE,Highlander Trekking
EVER99124,Everest,1999,Spring,4/8/1999,5/12/1999,5/14/1999,"Illness, AMS, exhaustion, or frostbite",8650,1,0,0,0,FALSE,Sea to Summit Trekking
EVER99125,Everest,1999,Spring,4/14/1999,5/22/1999,6/4/1999,Success (main peak),8850,9,0,4,0,TRUE,Asian Trekking
EVER99126,Everest,1999,Spring,4/15/1999,5/27/1999,6/2/1999,Success (main peak),8850,7,0,3,0,TRUE,Arun Treks
EVER99127,Everest,1999,Spring,4/9/1999,5/27/1999,6/3/1999,Success (main peak),8850,6,0,5,0,TRUE,Asian Trekking
EVER99128,Everest,1999,Spring,4/3/1999,5/12/1999,5/18/1999,Success (main peak),8850,5,0,4,0,TRUE,Asian Trekking
EVER99129,Everest,1999,Spring,4/11/1999,5/13/1999,5/19/1999,Success (main peak),8850,1,0,4,0,TRUE,Asian Trekking
EVER99130,Everest,1999,Spring,4/11/1999,5/26/1999,5/29/1999,Success (main peak),8850,8,0,3,0,TRUE,Asian Trekking
EVER99131,Everest,1999,Spring,4/13/1999,5/18/1999,5/23/1999,Success (main peak),8850,10,1,2,0,TRUE,Asian Trekking
EVER99132,Everest,1999,Spring,4/5/1999,5/5/1999,5/8/1999,Lack (or loss) of supplies or equipment,8748,1,0,3,0,TRUE,Asian Trekking
EVER99133,Everest,1999,Spring,NA,5/18/1999,NA,"Route technically too difficult, lack of experience, strength, or motivation",8100,1,0,0,0,FALSE,None
EVER99134,Everest,1999,Spring,3/30/1999,5/8/1999,5/13/1999,Success (main peak),8850,11,1,2,0,FALSE,Windhorse Trekking
EVER99135,Everest,1999,Spring,4/16/1999,5/25/1999,6/2/1999,Success (main peak),8850,4,0,0,0,TRUE,Sea to Summit Trekking
EVER99136,Everest,1999,Spring,4/11/1999,5/24/1999,5/29/1999,Lack of time,8550,1,0,1,0,TRUE,Himalayan Waves/Asian Trekking
EVER99137,Everest,1999,Spring,3/30/1999,5/26/1999,5/30/1999,Success (main peak),8850,4,0,3,0,TRUE,Nomad Expeditions
EVER99301,Everest,1999,Autumn,9/7/1999,9/28/1999,10/12/1999,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500,9,0,7,0,FALSE,Sherpa Alpine Trekking
EVER99302,Everest,1999,Autumn,9/10/1999,9/20/1999,9/26/1999,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7350,4,0,2,0,FALSE,Thamserku Trekking
EVER99303,Everest,1999,Autumn,9/17/1999,10/15/1999,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,2,0,0,0,FALSE,Thamserku Trekking
EVER99304,Everest,1999,Autumn,9/18/1999,10/13/1999,10/31/1999,"Bad weather (storms, high winds)",6400,15,0,0,0,FALSE,Beyond Base Camp
EVER99401,Everest,1999,Winter,11/23/1999,12/7/1999,12/23/1999,"Illness, AMS, exhaustion, or frostbite",7000,1,0,3,0,FALSE,Explore Himalaya
EVER00111,Everest,2000,Spring,4/14/2000,5/23/2000,5/26/2000,Success (main peak),8850,8,0,15,0,TRUE,Sherpa Shangri-La Trekking
EVER00156,Everest,2000,Spring,4/22/2000,5/25/2000,NA,"Bad weather (storms, high winds)",8500,7,0,3,0,FALSE,International Trekkers (Intrek Asia)
EVER00101,Everest,2000,Spring,4/7/2000,5/24/2000,5/26/2000,Success (main peak),8850,9,0,4,0,TRUE,Summit Nepal Trekking
EVER00102,Everest,2000,Spring,4/12/2000,5/24/2000,5/27/2000,Success (main peak),8850,2,0,0,0,TRUE,Cho Oyu Trekking
EVER00103,Everest,2000,Spring,4/5/2000,5/21/2000,5/25/2000,Lack (or loss) of supplies or equipment,8300,1,0,1,0,TRUE,Asian Trekking
EVER00104,Everest,2000,Spring,3/30/2000,5/16/2000,NA,Success (main peak),8850,8,0,5,0,TRUE,High Country Trekking
EVER00105,Everest,2000,Spring,3/24/2000,5/22/2000,5/28/2000,Success (main peak),8850,9,0,6,0,TRUE,Himalayan Culture Treks
EVER00106,Everest,2000,Spring,4/3/2000,5/16/2000,5/26/2000,Success (main peak),8850,9,0,5,0,TRUE,Asian Trekking
EVER00107,Everest,2000,Spring,4/10/2000,5/20/2000,5/24/2000,Success (main peak),8850,7,0,6,0,TRUE,Arun Treks
EVER00108,Everest,2000,Spring,4/2/2000,5/21/2000,5/25/2000,"Bad weather (storms, high winds)",8750,1,0,1,0,TRUE,Nomad Expeditions
EVER00109,Everest,2000,Spring,4/2/2000,5/20/2000,5/26/2000,Lack of time,8740,7,0,3,0,TRUE,Asian Trekking
EVER00110,Everest,2000,Spring,4/5/2000,5/22/2000,5/27/2000,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER00112,Everest,2000,Spring,4/3/2000,5/21/2000,5/25/2000,Success (main peak),8850,1,0,2,0,TRUE,Nomad Expeditions
EVER00113,Everest,2000,Spring,4/19/2000,5/21/2000,5/24/2000,"Illness, AMS, exhaustion, or frostbite",8826,3,0,4,0,TRUE,Sita Chuchura Treks
EVER00114,Everest,2000,Spring,4/14/2000,5/24/2000,5/31/2000,Success (main peak),8850,14,0,11,0,TRUE,Wilderness Experience
EVER00115,Everest,2000,Spring,4/1/2000,5/17/2000,NA,Success (main peak),8850,5,0,10,0,TRUE,Mountain Madness
EVER00116,Everest,2000,Spring,4/14/2000,5/18/2000,5/24/2000,Success (main peak),8850,5,0,4,0,TRUE,Asian Trekking
EVER00117,Everest,2000,Spring,4/1/2000,5/21/2000,5/25/2000,Success (main peak),8850,7,0,12,0,TRUE,Asian Trekking
EVER00118,Everest,2000,Spring,4/6/2000,5/17/2000,NA,Success (main peak),8850,5,0,6,0,TRUE,Mountain Madness
EVER00119,Everest,2000,Spring,4/1/2000,5/22/2000,5/28/2000,Success (main peak),8850,11,0,10,0,TRUE,Great Escapes Trekking
EVER00120,Everest,2000,Spring,4/7/2000,5/26/2000,5/27/2000,Success (main peak),8850,17,0,9,0,TRUE,Himalayan Guides
EVER00122,Everest,2000,Spring,4/3/2000,5/21/2000,5/25/2000,"Bad weather (storms, high winds)",8300,1,0,1,0,TRUE,Nomad Expeditions
EVER00124,Everest,2000,Spring,4/1/2000,5/21/2000,5/25/2000,"Bad weather (storms, high winds)",8750,3,0,5,0,TRUE,Nomad Expeditions
EVER00125,Everest,2000,Spring,4/5/2000,5/21/2000,5/25/2000,"Route technically too difficult, lack of experience, strength, or motivation",8100,1,0,1,0,FALSE,Asian Trekking
EVER00126,Everest,2000,Spring,4/11/2000,5/15/2000,5/19/2000,Lack (or loss) of supplies or equipment,8750,3,0,3,0,TRUE,Wilderness Experience
EVER00127,Everest,2000,Spring,4/9/2000,5/20/2000,5/22/2000,"Illness, AMS, exhaustion, or frostbite",7285,1,0,1,0,TRUE,Asian Trekking
EVER00128,Everest,2000,Spring,4/15/2000,5/17/2000,5/25/2000,Success (main peak),8850,18,0,7,0,TRUE,Rolwaling Treks
EVER00129,Everest,2000,Spring,4/17/2000,5/17/2000,5/25/2000,Success (main peak),8850,6,0,2,0,TRUE,Cosmo Treks
EVER00130,Everest,2000,Spring,4/13/2000,5/19/2000,5/27/2000,Success (main peak),8850,1,0,2,0,FALSE,Asian Trekking
EVER00121,Everest,2000,Spring,4/5/2000,5/16/2000,5/21/2000,Success (main peak),8850,7,0,4,0,TRUE,Beyond Base Camp
EVER00123,Everest,2000,Spring,4/5/2000,5/22/2000,5/27/2000,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER00133,Everest,2000,Spring,4/8/2000,5/21/2000,6/4/2000,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8300,12,0,6,0,TRUE,Asian Trekking
EVER00134,Everest,2000,Spring,4/11/2000,5/28/2000,6/2/2000,"Bad weather (storms, high winds)",8100,5,0,0,0,FALSE,Asian Trekking
EVER00135,Everest,2000,Spring,4/14/2000,5/17/2000,5/25/2000,Success (main peak),8850,9,0,7,0,TRUE,Rolwaling Treks
EVER00136,Everest,2000,Spring,4/10/2000,5/28/2000,6/4/2000,Success (main peak),8850,11,0,3,0,TRUE,Asian Trekking
