Itinerary,Leg,Departure_Airport,Departure_Airport_IATA_Abbrv,Departure_Time,Arrival_Airport,Arrival_Airport_IATA_Abbrv,Arrival_Time,Flight_Duration,Aircraft,Airline,Flight_Number,Flight_Overnight,Layover_Duration
63,2,Vancouver International Airport (YVR),YVR,2024-02-10 14:50,Los Angeles International Airport,LAX,2024-02-10 17:47,177,Boeing 737MAX 8 Passenger,United,UA 387,FALSE,148
63,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
64,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,205
64,2,Vancouver International Airport (YVR),YVR,2024-02-10 14:05,Denver International Airport,DEN,2024-02-10 17:57,172,Airbus A319,Air Canada,AC 572,FALSE,93
64,3,Denver International Airport,DEN,2024-02-10 19:30,Harry Reid International Airport,LAS,2024-02-10 20:35,125,Boeing 737MAX 8 Passenger,United,UA 655,FALSE,0
65,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,124
65,2,Vancouver International Airport (YVR),YVR,2024-02-10 12:44,Denver International Airport,DEN,2024-02-10 16:36,172,Boeing 737MAX 8 Passenger,United,UA 1036,FALSE,174
65,3,Denver International Airport,DEN,2024-02-10 19:30,Harry Reid International Airport,LAS,2024-02-10 20:35,125,Boeing 737MAX 8 Passenger,United,UA 655,FALSE,0
66,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,170
66,2,Vancouver International Airport (YVR),YVR,2024-02-10 13:30,San Francisco International Airport,SFO,2024-02-10 15:55,145,Boeing 737MAX 8 Passenger,Air Canada,AC 566,FALSE,195
66,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
67,1,Narita International Airport (NRT),NRT,2024-02-10 18:25,Dallas Fort Worth International Airport,DFW,2024-02-10 14:50,685,Boeing 787,American,AA 60,TRUE,130
67,2,Dallas Fort Worth International Airport,DFW,2024-02-10 17:00,Los Angeles International Airport,LAX,2024-02-10 18:38,218,Airbus A321,American,AA 1672,FALSE,82
67,3,Los Angeles International Airport,LAX,2024-02-10 20:00,Harry Reid International Airport,LAS,2024-02-10 21:14,74,Airbus A321,American,AA 2785,FALSE,0
68,1,Narita International Airport (NRT),NRT,2024-02-10 13:50,Shanghai Pudong International Airport,PVG,2024-02-10 16:30,220,Airbus A350,China Eastern,MU 524,FALSE,1310
68,2,Shanghai Pudong International Airport,PVG,2024-02-11 14:20,San Francisco International Airport,SFO,2024-02-11 9:30,670,Boeing 777,China Eastern,MU 589,TRUE,214
68,3,San Francisco International Airport,SFO,2024-02-11 13:04,Harry Reid International Airport,LAS,2024-02-11 14:49,105,Boeing 737,United,UA 305,FALSE,0
69,1,Narita International Airport (NRT),NRT,2024-02-10 15:25,Shanghai Pudong International Airport,PVG,2024-02-10 18:20,235,Boeing 777,China Eastern,MU 522,FALSE,1200
69,2,Shanghai Pudong International Airport,PVG,2024-02-11 14:20,San Francisco International Airport,SFO,2024-02-11 9:30,670,Boeing 777,China Eastern,MU 589,TRUE,214
69,3,San Francisco International Airport,SFO,2024-02-11 13:04,Harry Reid International Airport,LAS,2024-02-11 14:49,105,Boeing 737,United,UA 305,FALSE,0
70,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,405
70,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:25,San Francisco International Airport,SFO,2024-02-10 21:29,304,Boeing 777,United,UA 1141,FALSE,71
70,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
71,1,Narita International Airport (NRT),NRT,2024-02-10 13:20,Incheon International Airport,ICN,2024-02-10 15:55,155,Airbus A380,Asiana,OZ 101,FALSE,305
71,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
72,1,Narita International Airport (NRT),NRT,2024-02-10 15:50,Incheon International Airport,ICN,2024-02-10 18:40,170,Boeing 777,Asiana,OZ 103,FALSE,140
72,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
73,1,Narita International Airport (NRT),NRT,2024-02-10 9:00,Incheon International Airport,ICN,2024-02-10 11:40,160,Boeing 777,Asiana,OZ 107,FALSE,560
73,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
74,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,360
74,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:25,San Francisco International Airport,SFO,2024-02-10 21:29,304,Boeing 777,United,UA 1141,FALSE,71
74,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
75,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,305
75,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:25,San Francisco International Airport,SFO,2024-02-10 21:29,304,Boeing 777,United,UA 1141,FALSE,71
75,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
76,1,Narita International Airport (NRT),NRT,2024-02-10 14:00,Incheon International Airport,ICN,2024-02-10 16:50,170,Boeing 777,Korean Air,KE 704,FALSE,170
76,2,Incheon International Airport,ICN,2024-02-10 19:40,Los Angeles International Airport,LAX,2024-02-10 13:40,660,Airbus A380,Korean Air,KE 11,TRUE,120
76,3,Los Angeles International Airport,LAX,2024-02-10 15:40,Harry Reid International Airport,LAS,2024-02-10 16:55,75,Airbus A319,Delta,DL 2444,FALSE,0
77,1,Narita International Airport (NRT),NRT,2024-02-10 17:10,Los Angeles International Airport,LAX,2024-02-10 9:50,580,Boeing 787,JAL,JL 62,TRUE,137
77,2,Los Angeles International Airport,LAX,2024-02-10 12:07,Harry Reid International Airport,LAS,2024-02-10 13:17,70,Boeing 737,American,AA 2388,FALSE,0
78,1,Narita International Airport (NRT),NRT,2024-02-10 18:25,Dallas Fort Worth International Airport,DFW,2024-02-10 14:50,685,Boeing 787,American,AA 60,TRUE,126
78,2,Dallas Fort Worth International Airport,DFW,2024-02-10 16:56,Harry Reid International Airport,LAS,2024-02-10 18:02,186,Airbus A321,American,AA 2864,FALSE,0
79,1,Narita International Airport (NRT),NRT,2024-02-10 18:25,Dallas Fort Worth International Airport,DFW,2024-02-10 14:50,685,Boeing 787,American,AA 60,TRUE,190
79,2,Dallas Fort Worth International Airport,DFW,2024-02-10 18:00,Harry Reid International Airport,LAS,2024-02-10 19:02,182,Boeing 737,American,AA 1880,FALSE,0
80,1,Narita International Airport (NRT),NRT,2024-02-10 18:25,Dallas Fort Worth International Airport,DFW,2024-02-10 14:50,685,Boeing 787,American,AA 60,TRUE,245
80,2,Dallas Fort Worth International Airport,DFW,2024-02-10 18:55,Harry Reid International Airport,LAS,2024-02-10 20:00,185,Airbus A321,American,AA 884,FALSE,0
81,1,Narita International Airport (NRT),NRT,2024-02-10 17:00,San Francisco International Airport,SFO,2024-02-10 9:15,555,Boeing 777,ANA,NH 8,TRUE,805
81,2,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
82,1,Narita International Airport (NRT),NRT,2024-02-10 17:00,San Francisco International Airport,SFO,2024-02-10 9:15,555,Boeing 777,ANA,NH 8,TRUE,105
82,2,San Francisco International Airport,SFO,2024-02-10 11:00,Harry Reid International Airport,LAS,2024-02-10 12:45,105,Boeing 737,United,UA 470,FALSE,0
83,1,Narita International Airport (NRT),NRT,2024-02-10 17:00,San Francisco International Airport,SFO,2024-02-10 9:15,555,Boeing 777,ANA,NH 8,TRUE,229
83,2,San Francisco International Airport,SFO,2024-02-10 13:04,Harry Reid International Airport,LAS,2024-02-10 14:49,105,Boeing 737,United,UA 305,FALSE,0
84,1,Narita International Airport (NRT),NRT,2024-02-10 17:10,Los Angeles International Airport,LAX,2024-02-10 9:50,580,Boeing 787,JAL,JL 62,TRUE,610
84,2,Los Angeles International Airport,LAX,2024-02-10 20:00,Harry Reid International Airport,LAS,2024-02-10 21:14,74,Airbus A321,American,AA 2785,FALSE,0
85,1,Narita International Airport (NRT),NRT,2024-02-10 17:25,Seattle-Tacoma International Airport,SEA,2024-02-10 9:20,535,Boeing 787,JAL,JL 68,TRUE,201
85,2,Seattle-Tacoma International Airport,SEA,2024-02-10 12:41,Harry Reid International Airport,LAS,2024-02-10 15:15,154,Boeing 737,Alaska,AS 678,FALSE,0
86,1,Narita International Airport (NRT),NRT,2024-02-10 18:40,Vancouver International Airport (YVR),YVR,2024-02-10 10:55,555,Boeing 767,JAL,JL 18,TRUE,1330
86,2,Vancouver International Airport (YVR),YVR,2024-02-11 9:05,Harry Reid International Airport,LAS,2024-02-11 11:55,170,Boeing 737MAX 8 Passenger,WestJet,WS 1788,FALSE,0
87,1,Narita International Airport (NRT),NRT,2024-02-10 18:15,Los Angeles International Airport,LAX,2024-02-10 11:15,600,Boeing 777,Singapore Airlines,SQ 12,TRUE,180
87,2,Los Angeles International Airport,LAX,2024-02-10 14:15,San Francisco International Airport,SFO,2024-02-10 15:44,89,Embraer 175,Alaska,AS 3424,FALSE,221
87,3,San Francisco International Airport,SFO,2024-02-10 19:25,Harry Reid International Airport,LAS,2024-02-10 21:00,95,Boeing 737MAX 9 Passenger,Alaska,AS 740,FALSE,0
88,1,Narita International Airport (NRT),NRT,2024-02-10 18:40,Vancouver International Airport (YVR),YVR,2024-02-10 10:55,555,Boeing 767,JAL,JL 18,TRUE,1835
88,2,Vancouver International Airport (YVR),YVR,2024-02-11 17:30,Harry Reid International Airport,LAS,2024-02-11 20:15,165,Boeing 737,WestJet,WS 1790,FALSE,0
89,1,Narita International Airport (NRT),NRT,2024-02-10 18:15,Los Angeles International Airport,LAX,2024-02-10 11:15,600,Boeing 777,Singapore Airlines,SQ 12,TRUE,315
89,2,Los Angeles International Airport,LAX,2024-02-10 16:30,San Francisco International Airport,SFO,2024-02-10 17:59,89,Embraer 175,Alaska,AS 3391,FALSE,86
89,3,San Francisco International Airport,SFO,2024-02-10 19:25,Harry Reid International Airport,LAS,2024-02-10 21:00,95,Boeing 737MAX 9 Passenger,Alaska,AS 740,FALSE,0
90,1,Narita International Airport (NRT),NRT,2024-02-10 18:40,Vancouver International Airport (YVR),YVR,2024-02-10 10:55,555,Boeing 767,JAL,JL 18,TRUE,270
90,2,Vancouver International Airport (YVR),YVR,2024-02-10 15:25,Seattle-Tacoma International Airport,SEA,2024-02-10 16:33,68,Embraer 175,Delta,DL 3941,FALSE,72
90,3,Seattle-Tacoma International Airport,SEA,2024-02-10 17:45,Harry Reid International Airport,LAS,2024-02-10 20:08,143,Boeing 737,Delta,DL 2291,FALSE,0
91,1,Narita International Airport (NRT),NRT,2024-02-10 18:15,Los Angeles International Airport,LAX,2024-02-10 11:15,600,Boeing 777,Singapore Airlines,SQ 12,TRUE,155
91,2,Los Angeles International Airport,LAX,2024-02-10 13:50,Seattle-Tacoma International Airport,SEA,2024-02-10 16:44,174,Boeing 737MAX 9 Passenger,Alaska,AS 1083,FALSE,61
91,3,Seattle-Tacoma International Airport,SEA,2024-02-10 17:45,Harry Reid International Airport,LAS,2024-02-10 20:14,149,Boeing 737,Alaska,AS 730,FALSE,0
92,1,Narita International Airport (NRT),NRT,2024-02-10 18:40,Vancouver International Airport (YVR),YVR,2024-02-10 10:55,555,Boeing 767,JAL,JL 18,TRUE,95
92,2,Vancouver International Airport (YVR),YVR,2024-02-10 12:30,Calgary International Airport,YYC,2024-02-10 14:55,85,Boeing 737,WestJet,WS 112,FALSE,185
92,3,Calgary International Airport,YYC,2024-02-10 18:00,Harry Reid International Airport,LAS,2024-02-10 19:55,175,Boeing 737MAX 8 Passenger,WestJet,WS 1400,FALSE,0
93,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,333
93,2,Daniel K. Inouye International Airport,HNL,2024-02-10 13:58,Kahului Airport,OGG,2024-02-10 14:42,44,Boeing 717,Hawaiian,HA 306,FALSE,98
93,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
94,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,201
94,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:46,Kahului Airport,OGG,2024-02-10 12:30,44,Boeing 717,Hawaiian,HA 266,FALSE,230
94,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
95,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,365
95,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:30,Kahului Airport,OGG,2024-02-10 15:15,45,Boeing 717,Hawaiian,HA 326,FALSE,65
95,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
96,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,905
96,2,Daniel K. Inouye International Airport,HNL,2024-02-10 23:30,Harry Reid International Airport,LAS,2024-02-11 7:10,340,Airbus A330,Hawaiian,HA 8,TRUE,0
97,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,310
97,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:30,Kahului Airport,OGG,2024-02-10 15:15,45,Boeing 717,Hawaiian,HA 326,FALSE,65
97,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
98,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,146
98,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:46,Kahului Airport,OGG,2024-02-10 12:30,44,Boeing 717,Hawaiian,HA 266,FALSE,230
98,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
99,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,278
99,2,Daniel K. Inouye International Airport,HNL,2024-02-10 13:58,Kahului Airport,OGG,2024-02-10 14:42,44,Boeing 717,Hawaiian,HA 306,FALSE,98
99,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
100,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,850
100,2,Daniel K. Inouye International Airport,HNL,2024-02-10 23:30,Harry Reid International Airport,LAS,2024-02-11 7:10,340,Airbus A330,Hawaiian,HA 8,TRUE,0
101,1,Narita International Airport (NRT),NRT,2024-02-10 20:35,Daniel K. Inouye International Airport,HNL,2024-02-10 8:25,410,Airbus A380,ANA,NH 184,TRUE,420
101,2,Daniel K. Inouye International Airport,HNL,2024-02-10 15:25,Harry Reid International Airport,LAS,2024-02-10 23:10,345,Airbus A330,Hawaiian,HA 18,FALSE,0
102,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:20,410,Airbus A380,ANA,NH 182,TRUE,365
102,2,Daniel K. Inouye International Airport,HNL,2024-02-10 15:25,Harry Reid International Airport,LAS,2024-02-10 23:10,345,Airbus A330,Hawaiian,HA 18,FALSE,0
103,1,Narita International Airport (NRT),NRT,2024-02-10 10:35,Hong Kong International Airport,HKG,2024-02-10 15:00,325,Airbus A350,Cathay Pacific,CX 501,FALSE,100
103,2,Hong Kong International Airport,HKG,2024-02-10 16:40,Los Angeles International Airport,LAX,2024-02-10 13:20,760,Boeing 777,Cathay Pacific,CX 882,TRUE,205
103,3,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
104,1,Narita International Airport (NRT),NRT,2024-02-10 14:20,Hong Kong International Airport,HKG,2024-02-10 18:55,335,Boeing 777,Cathay Pacific,CX 527,FALSE,65
104,2,Hong Kong International Airport,HKG,2024-02-10 20:00,San Francisco International Airport,SFO,2024-02-10 16:20,740,Airbus A350,Cathay Pacific,CX 892,TRUE,185
104,3,San Francisco International Airport,SFO,2024-02-10 19:25,Harry Reid International Airport,LAS,2024-02-10 21:00,95,Boeing 737MAX 9 Passenger,Alaska,AS 740,FALSE,0
105,1,Narita International Airport (NRT),NRT,2024-02-10 21:30,Daniel K. Inouye International Airport,HNL,2024-02-10 9:15,405,Boeing 767,JAL,JL 784,TRUE,855
105,2,Daniel K. Inouye International Airport,HNL,2024-02-10 23:30,Harry Reid International Airport,LAS,2024-02-11 7:10,340,Airbus A330,Hawaiian,HA 8,TRUE,0
106,1,Narita International Airport (NRT),NRT,2024-02-10 14:00,Incheon International Airport,ICN,2024-02-10 16:50,170,Boeing 777,Korean Air,KE 704,FALSE,250
106,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
107,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,630
107,2,Vancouver International Airport (YVR),YVR,2024-02-10 21:10,Harry Reid International Airport,LAS,2024-02-10 23:58,168,Boeing 737MAX 8 Passenger,Air Canada,AC 1060,FALSE,0
108,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,950
108,2,Daniel K. Inouye International Airport,HNL,2024-02-10 23:30,Harry Reid International Airport,LAS,2024-02-11 7:10,340,Airbus A330,Hawaiian,HA 8,TRUE,0
109,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,355
109,2,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
110,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,565
110,2,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
111,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,1303
111,2,Los Angeles International Airport,LAX,2024-02-11 8:33,Harry Reid International Airport,LAS,2024-02-11 9:46,73,Boeing 737MAX 8 Passenger,United,UA 1006,FALSE,0
112,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,485
112,2,Los Angeles International Airport,LAX,2024-02-10 18:55,San Francisco International Airport,SFO,2024-02-10 20:28,93,Airbus A320,United,UA 1727,FALSE,132
112,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
113,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,325
113,2,Los Angeles International Airport,LAX,2024-02-10 16:15,San Francisco International Airport,SFO,2024-02-10 17:48,93,Boeing 757,United,UA 1705,FALSE,82
113,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
114,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,170
114,2,Vancouver International Airport (YVR),YVR,2024-02-10 13:30,San Francisco International Airport,SFO,2024-02-10 15:55,145,Boeing 737MAX 8 Passenger,Air Canada,AC 566,FALSE,210
114,3,San Francisco International Airport,SFO,2024-02-10 19:25,Harry Reid International Airport,LAS,2024-02-10 21:00,95,Boeing 737MAX 9 Passenger,Alaska,AS 740,FALSE,0
115,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,325
115,2,Los Angeles International Airport,LAX,2024-02-10 16:15,San Francisco International Airport,SFO,2024-02-10 17:48,93,Boeing 757,United,UA 1705,FALSE,292
115,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
116,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
116,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,472
116,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
117,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
117,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,262
117,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
118,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,254
118,2,San Francisco International Airport,SFO,2024-02-10 13:29,Los Angeles International Airport,LAX,2024-02-10 15:01,92,Boeing 737,United,UA 1312,FALSE,104
118,3,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
119,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,415
119,2,San Francisco International Airport,SFO,2024-02-10 16:10,Los Angeles International Airport,LAX,2024-02-10 17:42,92,Boeing 757,United,UA 1413,FALSE,153
119,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
120,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
120,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,162
120,3,San Francisco International Airport,SFO,2024-02-10 17:30,Harry Reid International Airport,LAS,2024-02-10 19:15,105,Boeing 737MAX 9 Passenger,United,UA 1896,FALSE,0
121,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,80
121,2,San Francisco International Airport,SFO,2024-02-10 10:35,Los Angeles International Airport,LAX,2024-02-10 12:10,95,Boeing 737MAX 8 Passenger,United,UA 1897,FALSE,275
121,3,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
122,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,254
122,2,San Francisco International Airport,SFO,2024-02-10 13:29,Los Angeles International Airport,LAX,2024-02-10 15:01,92,Boeing 737,United,UA 1312,FALSE,314
122,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
123,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,80
123,2,San Francisco International Airport,SFO,2024-02-10 10:35,Los Angeles International Airport,LAX,2024-02-10 12:10,95,Boeing 737MAX 8 Passenger,United,UA 1897,FALSE,485
123,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
124,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,246
124,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:46,Kahului Airport,OGG,2024-02-10 12:30,44,Boeing 717,Hawaiian,HA 266,FALSE,230
124,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
125,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,270
125,2,Daniel K. Inouye International Airport,HNL,2024-02-10 12:10,Kahului Airport,OGG,2024-02-10 12:54,44,Boeing 717,Hawaiian,HA 286,FALSE,206
125,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
126,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,410
